0,Date,Price,Open,High,Low,Volume,Chg%
569,"Nov 04, 2012",390.13,398.05,400.68,388.81,24.90M,-2.51%
570,"Oct 28, 2012",400.18,397.41,403.62,390.65,27.54M,1.13%
571,"Oct 21, 2012",395.72,393.87,405.51,392.13,23.16M,-0.48%
572,"Oct 14, 2012",397.63,405.65,416.03,394.76,43.16M,-1.97%
573,"Oct 07, 2012",405.61,423.26,423.26,399.91,29.70M,-4.53%
574,"Sep 30, 2012",424.87,416.06,426.95,337.97,27.21M,2.46%
575,"Sep 23, 2012",414.67,421.01,424.87,408.26,41.51M,-1.54%
576,"Sep 16, 2012",421.16,420.07,436.66,410.24,51.21M,1.02%
577,"Sep 09, 2012",416.92,396.24,418.88,387.92,36.09M,6.31%
578,"Sep 02, 2012",392.16,380.39,394.51,376.46,23.47M,3.31%
579,"Aug 26, 2012",379.60,389.31,395.01,377.77,31.75M,-2.01%
580,"Aug 19, 2012",387.38,404.17,408.08,385.69,23.81M,-4.17%
581,"Aug 12, 2012",404.22,386.09,408.58,386.09,27.07M,4.35%
582,"Aug 05, 2012",387.38,370.51,395.75,370.51,45.62M,5.33%
583,"Jul 29, 2012",367.79,358.11,371.92,357.11,24.83M,2.99%
584,"Jul 22, 2012",357.11,354.14,360.01,350.01,25.15M,-0.23%
585,"Jul 15, 2012",357.93,356.62,361.52,352.76,23.70M,0.58%
586,"Jul 08, 2012",355.88,361.08,367.52,354.14,21.76M,-2.22%
587,"Jul 01, 2012",363.97,364.30,367.84,361.00,20.09M,-0.41%
588,"Jun 24, 2012",365.46,353.75,366.97,352.66,29.34M,3.78%
589,"Jun 17, 2012",352.16,361.75,367.99,348.47,32.25M,-2.17%
590,"Jun 10, 2012",359.96,362.91,364.74,352.19,22.74M,-0.40%
591,"Jun 03, 2012",361.42,335.32,362.51,333.54,42.21M,6.48%
592,"May 27, 2012",339.41,342.75,361.10,335.84,45.73M,-0.86%
593,"May 20, 2012",342.35,340.03,348.99,336.58,26.93M,0.38%
594,"May 13, 2012",341.04,345.72,348.10,333.37,33.93M,-1.24%
595,"May 06, 2012",345.33,354.14,357.61,340.92,37.52M,-4.02%
596,"Apr 29, 2012",359.81,365.29,372.17,357.61,22.84M,-2.10%
597,"Apr 22, 2012",367.52,359.52,370.98,358.45,36.94M,1.53%
598,"Apr 15, 2012",361.99,370.04,374.85,360.58,33.57M,-2.76%
