,0,1
177,310.41,7.176399230957031e-05 6.216764450073242e-05 5.519390106201172e-05 6.121397018432617e-05 5.882978439331055e-05 6.020069122314453e-05 5.918741226196289e-05 6.341934204101562e-05 5.9604644775390625e-05 5.829334259033203e-05 7.843971252441406e-05
178,313.54,0.0008553564548492432 6.109476089477539e-05 7.94529914855957e-05 5.543231964111328e-05 7.390975952148438e-05 6.723403930664062e-05 5.644559860229492e-05 0.00042182207107543945 6.073713302612305e-05 7.051229476928711e-05 5.692243576049805e-05
179,289.73,0.164017915725708 0.0001221001148223877 6.0439109802246094e-05 0.1138157844543457 5.704164505004883e-05 0.00010463595390319824 7.027387619018555e-05 7.11679458618164e-05 6.580352783203125e-05 0.9992626309394836 9.128451347351074e-05
180,318.05,5.638599395751953e-05 6.347894668579102e-05 5.692243576049805e-05 6.949901580810547e-05 7.641315460205078e-05 0.9986010193824768 0.2725871205329895 0.00015228986740112305 0.0002824366092681885 0.14755424857139587 6.29425048828125e-05
181,331.66,7.480382919311523e-05 5.888938903808594e-05 5.710124969482422e-05 5.739927291870117e-05 7.230043411254883e-05 0.001934051513671875 0.16679096221923828 0.00018602609634399414 6.002187728881836e-05 0.004043519496917725 0.060402870178222656
182,383.55,5.346536636352539e-05 6.663799285888672e-05 0.24836957454681396 6.955862045288086e-05 5.59687614440918e-05 5.918741226196289e-05 5.739927291870117e-05 6.705522537231445e-05
183,411.44,5.352497100830078e-05 9.170174598693848e-05 6.312131881713867e-05 6.0558319091796875e-05 5.328655242919922e-05 5.6684017181396484e-05 6.347894668579102e-05 5.841255187988281e-05 0.00014314055442810059 5.751848220825195e-05 6.711483001708984e-05
184,429.86,8.499622344970703e-05 5.65648078918457e-05 0.000369340181350708 9.897351264953613e-05 5.728006362915039e-05 7.408857345581055e-05 0.001311182975769043 5.8710575103759766e-05 6.4849853515625e-05 0.9993717074394226 7.444620132446289e-05 8.717179298400879e-05 6.121397018432617e-05
185,425.21,5.352497100830078e-05 6.455183029174805e-05 0.00018537044525146484 6.687641143798828e-05 5.930662155151367e-05 6.276369094848633e-05 6.848573684692383e-05 0.11008250713348389 6.383657455444336e-05 0.9985730648040771 6.920099258422852e-05
186,443.01,5.7220458984375e-05 5.7637691497802734e-05 6.186962127685547e-05 5.888938903808594e-05 5.799531936645508e-05 0.0008179843425750732 6.407499313354492e-05 0.00033017992973327637 6.270408630371094e-05 0.00010082125663757324 0.0003827214241027832 0.1981721818447113 0.00014445185661315918 6.002187728881836e-05
187,447.32,5.823373794555664e-05 6.61015510559082e-05 0.0007024705410003662 6.031990051269531e-05 0.11777743697166443 5.728006362915039e-05 0.9944784641265869 5.8531761169433594e-05 0.9976903200149536 7.158517837524414e-05 6.282329559326172e-05 5.7756900787353516e-05 7.528066635131836e-05 8.651614189147949e-05
188,470.61,7.218122482299805e-05 9.909272193908691e-05 0.0019655823707580566 5.602836608886719e-05 6.026029586791992e-05 5.692243576049805e-05 0.0001144111156463623 0.0002746880054473877 0.9955969452857971 7.486343383789062e-05 6.002187728881836e-05 5.751848220825195e-05
189,483.10,6.127357482910156e-05 0.9973650574684143 6.0498714447021484e-05 5.728006362915039e-05 7.730722427368164e-05 0.00020906329154968262 6.020069122314453e-05 0.00023233890533447266 5.614757537841797e-05 0.041693538427352905 8.895993232727051e-05 6.014108657836914e-05 0.00014927983283996582 6.562471389770508e-05 8.541345596313477e-05 5.59687614440918e-05
190,541.31,0.9502108693122864 6.967782974243164e-05 5.8591365814208984e-05 6.008148193359375e-05 0.00015169382095336914 5.733966827392578e-05 5.7578086853027344e-05 8.693337440490723e-05 0.2277020514011383 0.9986748695373535 6.920099258422852e-05 6.318092346191406e-05 9.378790855407715e-05 6.812810897827148e-05 6.413459777832031e-05 0.9994919300079346 0.1943240463733673 6.783008575439453e-05
191,562.64,5.835294723510742e-05 0.02098977565765381 5.4836273193359375e-05 0.001332998275756836 5.811452865600586e-05 0.0009400546550750732 7.05718994140625e-05 6.788969039916992e-05 5.990266799926758e-05 6.401538848876953e-05 0.0006614029407501221 7.730722427368164e-05 7.516145706176758e-05 0.00011810660362243652
192,547.99,6.330013275146484e-05 5.7756900787353516e-05 6.198883056640625e-05 0.0074651241302490234 7.50422477722168e-05 9.235739707946777e-05 6.669759750366211e-05 6.651878356933594e-05 6.0677528381347656e-05 0.00015056133270263672 5.40614128112793e-05 6.92605972290039e-05 0.000651925802230835 6.604194641113281e-05 6.836652755737305e-05 6.943941116333008e-05
193,584.98,5.513429641723633e-05 6.371736526489258e-05 6.121397018432617e-05 5.4717063903808594e-05 5.561113357543945e-05 5.805492401123047e-05 8.124113082885742e-05 0.049554646015167236 5.91278076171875e-05 0.9717420339584351 5.84721565246582e-05 0.24301007390022278 6.693601608276367e-05 0.04997718334197998
194,505.58,0.006561070680618286 5.608797073364258e-05 5.543231964111328e-05 5.3882598876953125e-05 6.467103958129883e-05 6.395578384399414e-05 0.0020872950553894043 0.004528552293777466 8.663535118103027e-05 0.002385377883911133 5.78761100769043e-05 6.109476089477539e-05 5.3882598876953125e-05 0.04677775502204895 5.4955482482910156e-05
